"idx","prompt","accuracy"
"direct_v4crowdaware","<start_of_turn>user\nSentiment classification task. These are sentecnes from the internet. It is common for people to use different writingstyles on the internet. Choose one of the following: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"direct_v4extrasarcasm","<start_of_turn>user\nSentiment classification task. There can be some sarcasam pay attention to this. Choose one of the following: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"direct_v4carefully","<start_of_turn>user\nSentiment classification task. Choose carefully one of the following: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"direct_v4nosinglewordpred","<start_of_turn>user\nSentiment classification task. Dont let yourself be influenced by single words too much. Aanalyze the sentence as a whole. Choose carefully one of the following: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"direct_v4_karltest","<start_of_turn>user\nClassify the sentiment! Choose one of the following sentiments: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"direct_v4_emphatic","<start_of_turn>user\nThis is a sentiment classification task. Your job is to carefully determine whether the review is positive, negative, or neutral. Respond with only one word.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"direct_v4_shorter","<start_of_turn>user\nClassify the sentiment: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>\\', sentiment_map={'positive': <Sentiment.POSITIVE: 0>, 'negative': <Sentiment.NEGATIVE: 2>, 'neutral': <Sentiment.NEUTRAL: 1>})<PROBE>'",""
"direct_v4_assertive","<start_of_turn>user\nClassify the sentiment of this review. Choose only from: positive, negative, or neutral. Do not explain your answer.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>\\', sentiment_map={'positive': <Sentiment.POSITIVE: 0>, 'negative': <Sentiment.NEGATIVE: 2>, 'neutral': <Sentiment.NEUTRAL: 1>})<PROBE>'",""
"direct_v5","<start_of_turn>user\nWhat is the sentiment of this review? Choose oen of the following: positive, negative, or neutral. Pay attention to irony and sarcasm!\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"thoughtful_analyst","<start_of_turn>user\nPlease act as a sentiment analysis expert. Assess the following text and reply with one word: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"professional_opinion","<start_of_turn>user\nGive a professional sentiment judgment for this review: positive, negative, or neutral?\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"sarcasm_aware","<start_of_turn>user\nBe cautious of irony and sarcasm. Is the sentiment of the following review positive, negative, or neutral?\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"market_review_style","<start_of_turn>user\nAnalyze the tone of the customer review below as if preparing for a product sentiment report. Reply with one of: positive, negative, or neutral.\n\n<INPUT><end_of_turn>\n<start_of_turn>model\n<PROBE>'",""
"generated_prompts[""good_generated_1_1""]","<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert. Your task is to analyze customer reviews and determine their overall sentiment. You will always respond with one of three possible sentiments: positive, negative, or neutral.  Carefully consider the language used, the context of the review, and any expressed emotions. Do not provide explanations or justifications for your decision, simply state the sentiment.  Follow the prompt template exactly.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_1_2""]","<start_of_turn>user\LineYou are a sophisticated AI assistant specializing in consumer feedback assessment. Your primary function is to classify the sentiment expressed in provided text snippets.  You must strictly adhere to the following format:  Begin by stating ""Sentiment:"". Then, provide the single word sentiment – either positive, negative, or neutral – that best represents the overall feeling conveyed in the text.  Ignore irrelevant details and focus solely on the<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_2_1""]","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to analyze customer reviews and determine whether the overall sentiment is positive, negative, or neutral. Carefully read the provided review and consider all aspects of the text, including language, tone, and expressed opinions. Provide a concise and accurate assessment of the review's sentiment.  Do not offer explanations; simply state one of the following: Positive, Negative, or Neutral.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_2_2""]","<start_of_turn>user\LineYou are a meticulous sentiment analyzer specializing in online reviews. Your role is to evaluate the emotional tone conveyed in each review.  Thoroughly examine the review for words and phrases indicating satisfaction, dissatisfaction, or indifference.  Focus on the reviewer’s perspective and the overall impression created by the text.  Your output should strictly adhere to one of these three options: Positive, Negative<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_3_1""]","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to meticulously analyze customer reviews and determine the overall sentiment expressed. You will receive a customer review as input. Carefully read the review, considering the language used, the tone, and the expressed opinions. Based on your analysis, classify the sentiment as either ‘positive’, ‘negative’, or ‘neutral’. Provide only one word as your response, and nothing else. Do not include any explanations or justifications for your answer. Focus solely on accurately identifying the sentiment.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_3_2""]","<start_of_turn>user\LineYou are a sophisticated sentiment detection system. Your purpose is to assess the emotional tone of written text.  You will be provided with a customer review.  Analyze the review’s content, focusing on the words and phrases used to convey the customer’s feelings.  Determine if the review expresses<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_1_1""]","<start_of_turn>user\LineAnalyze the sentiment expressed in the following text. Determine whether the overall sentiment is positive, negative, or neutral. Provide a concise justification for your sentiment classification based on the text’s content.\Line\Line<INPUT>\Line\Line'<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_1_2""]","<start_of_turn>user\LineRead the following review text carefully. Identify the predominant sentiment – either positive, negative, or neutral – reflecting the reviewer’s opinion. Explain your reasoning in a single sentence, summarizing the key elements of the text that support your sentiment judgment.\Line\Line<INPUT>\Line\Line'<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_1_3""]","<start_of_turn>user\LineEvaluate the sentiment conveyed in the provided review. Classify the sentiment as positive, negative, or neutral.  Your response should be a simple label (positive, negative, or neutral) followed by a one-sentence explanation detailing the specific aspects of the review that led to that classification.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_2_1""]","<start_of_turn>user\LineAnalyze the sentiment expressed in the following text. Determine whether the overall sentiment is positive, negative, or neutral. Provide a concise explanation for your decision.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_2_2""]","<start_of_turn>user\LineRead the review below and identify the predominant sentiment. Classify the sentiment as either positive, negative, or neutral. Justify your classification with specific details from the text, focusing on the language used and the expressed opinions.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_2_3""]","<start_of_turn>user\LineEvaluate the sentiment of the following customer review. Considering the language, tone, and expressed feelings, categorize the sentiment as positive, negative, or neutral. Your response should include a brief summary (one to two sentences) of the reasons behind your sentiment determination.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_3_1""]","<start_of_turn>user\LineAnalyze the sentiment expressed in the following text, determining whether it is predominantly positive, negative, or neutral. Provide only one word: positive, negative, or neutral.  If the text contains a mix of sentiments, choose the most dominant one.  Pay close attention to the overall tone and expressed emotions.  Here is the text: [TEXT]. Sentiment:\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_3_2""]","<start_of_turn>user\LineCarefully read the provided text and assess the overall sentiment.  Your task is to categorize the sentiment as either positive, negative, or neutral. Consider the language used, the context, and any expressed emotions.  Do not include any explanations or justifications; simply state the sentiment.  Here is the text: [TEXT]. Sentiment:\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_3_3""]","<start_of_turn>user\LineEvaluate the sentiment of the following review.  Determine if the sentiment expressed<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_1_174729945050""]","<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert. Your task is to analyze customer reviews and determine their overall sentiment. You will always respond with one of three possible sentiments: positive, negative, or neutral.  Carefully consider the language used, the context of the review, and any expressed emotions. Do not provide explanations or justifications for your decision, simply state the sentiment.  Follow the prompt template exactly.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_1_174729945051""]","<start_of_turn>user\LineYou are a sophisticated AI assistant specializing in consumer feedback assessment. Your primary function is to classify the sentiment expressed in provided text snippets.  You must strictly adhere to the following format:  Begin by stating ""Sentiment:"". Then, provide the single word sentiment – either positive, negative, or neutral – that best represents the overall feeling conveyed in the text.  Ignore irrelevant details and focus solely on the<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_2_174729945051""]","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to analyze customer reviews and determine whether the overall sentiment is positive, negative, or neutral. Carefully read the provided review and consider all aspects of the text, including language, tone, and expressed opinions. Provide a concise and accurate assessment of the review's sentiment.  Do not offer explanations; simply state one of the following: Positive, Negative, or Neutral.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_2_174729945051""]","<start_of_turn>user\LineYou are a meticulous sentiment analyzer specializing in online reviews. Your role is to evaluate the emotional tone conveyed in each review.  Thoroughly examine the review for words and phrases indicating satisfaction, dissatisfaction, or indifference.  Focus on the reviewer’s perspective and the overall impression created by the text.  Your output should strictly adhere to one of these three options: Positive, Negative<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_3_174729945051""]","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to meticulously analyze customer reviews and determine the overall sentiment expressed. You will receive a customer review as input. Carefully read the review, considering the language used, the tone, and the expressed opinions. Based on your analysis, classify the sentiment as either ‘positive’, ‘negative’, or ‘neutral’. Provide only one word as your response, and nothing else. Do not include any explanations or justifications for your answer. Focus solely on accurately identifying the sentiment.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""good_generated_3_174729945051""]","<start_of_turn>user\LineYou are a sophisticated sentiment detection system. Your purpose is to assess the emotional tone of written text.  You will be provided with a customer review.  Analyze the review’s content, focusing on the words and phrases used to convey the customer’s feelings.  Determine if the review expresses<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_1_174729945051""]","<start_of_turn>user\LineAnalyze the sentiment expressed in the following text. Determine whether the sentiment is positive, negative, or neutral. Provide only the single word response (positive, negative, or neutral) without any additional explanation.\Line\Line<INPUT>\Line\Line'<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_1_174729945051""]","<start_of_turn>user\LineCarefully read the provided text and assess the overall sentiment conveyed. Is the sentiment predominantly positive, negative, or neutral?  Your response should be a single word: positive, negative, or neutral.\Line\Line<INPUT>\Line\Line'<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_1_174729945051""]","<start_of_turn>user\LineEvaluate the sentiment of the following text. Considering the language used and the expressed opinion, classify the sentiment as positive, negative, or neutral.  Respond with just one word: positive, negative, or neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_2_174729945051""]","<start_of_turn>user\LineAnalyze the sentiment expressed in the following text. Determine whether the sentiment is positive, negative, or neutral. Provide only one word as your response: Positive, Negative, or Neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_2_174729945051""]","<start_of_turn>user\LinePlease carefully read the following customer review. Then, evaluate the overall sentiment conveyed in the text. Is the sentiment predominantly positive, negative, or neutral? Select the most appropriate answer from the following options: Positive, Negative, or Neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_2_174729945051""]","<start_of_turn>user\LineAnalyze the provided text to determine its sentiment.  Your task is to classify the sentiment expressed as either positive, negative, or neutral.  Consider all aspects of the text, including the language used, the tone, and the expressed opinions.  Provide only the single word: Positive, Negative, or Neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_3_174729945051""]","<start_of_turn>user\LineAnalyze the sentiment expressed in the following review. Determine whether the overall sentiment is positive, negative, or neutral. Provide a brief justification for your assessment based on the text.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_3_174729945051""]","<start_of_turn>user\LineYou are a sentiment analysis expert. Carefully read the provided text and determine the overall sentiment expressed by the author. Your response should be a single word: positive, negative, or neutral. Explain your reasoning in one sentence.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"generated_prompts[""bad_generated_3_174729945051""]","<start_of_turn>user\LineEvaluate the sentiment of the following review. Consider the language used, the tone, and the expressed opinions to determine if the review conveys a positive, negative, or neutral sentiment. Provide a concise explanation of your decision-making process.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"good_generated_1_174729955358","<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert. Your task is to analyze customer reviews and determine their overall sentiment. You will always respond with one of three possible sentiments: positive, negative, or neutral.  Carefully consider the language used, the context of the review, and any expressed emotions. Do not provide explanations or justifications for your decision, simply state the sentiment.  Follow the prompt template exactly.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"good_generated_1_174729955358","<start_of_turn>user\LineYou are a sophisticated AI assistant specializing in consumer feedback assessment. Your primary function is to classify the sentiment expressed in provided text snippets.  You must strictly adhere to the following format:  Begin by stating ""Sentiment:"". Then, provide the single word sentiment – either positive, negative, or neutral – that best represents the overall feeling conveyed in the text.  Ignore irrelevant details and focus solely on the<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"good_generated_2_174729955358","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to analyze customer reviews and determine whether the overall sentiment is positive, negative, or neutral. Carefully read the provided review and consider all aspects of the text, including language, tone, and expressed opinions. Provide a concise and accurate assessment of the review's sentiment.  Do not offer explanations; simply state one of the following: Positive, Negative, or Neutral.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"good_generated_2_174729955358","<start_of_turn>user\LineYou are a meticulous sentiment analyzer specializing in online reviews. Your role is to evaluate the emotional tone conveyed in each review.  Thoroughly examine the review for words and phrases indicating satisfaction, dissatisfaction, or indifference.  Focus on the reviewer’s perspective and the overall impression created by the text.  Your output should strictly adhere to one of these three options: Positive, Negative<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"good_generated_3_174729955358","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to meticulously analyze customer reviews and determine the overall sentiment expressed. You will receive a customer review as input. Carefully read the review, considering the language used, the tone, and the expressed opinions. Based on your analysis, classify the sentiment as either ‘positive’, ‘negative’, or ‘neutral’. Provide only one word as your response, and nothing else. Do not include any explanations or justifications for your answer. Focus solely on accurately identifying the sentiment.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"good_generated_3_174729955358","<start_of_turn>user\LineYou are a sophisticated sentiment detection system. Your purpose is to assess the emotional tone of written text.  You will be provided with a customer review.  Analyze the review’s content, focusing on the words and phrases used to convey the customer’s feelings.  Determine if the review expresses<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_1_174729955358","<start_of_turn>user\LineYou are a sentiment analysis expert. Your task is to analyze customer reviews and determine the overall sentiment expressed. Please respond with only one of the following three options: Positive, Negative, or Neutral.  Do not include any additional text or explanations. Focus solely on the sentiment of the review provided.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_1_174729955358","<start_of_turn>user\LineCarefully read the following text, which represents a customer review. Determine the sentiment expressed within the review. Is the sentiment predominantly positive, negative, or neutral? Provide only the single word: Positive, Negative, or Neutral. Do not include any extra words or phrases.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_1_174729955358","<start_of_turn>user\LineAnalyze the sentiment of the text below. This text represents a customer's opinion or experience. Categorize the sentiment as either Positive, Negative, or Neutral. Your response should be concise and unambiguous. Provide only<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_2_174729955358","<start_of_turn>user\LineYou are a sentiment analysis expert. Your task is to analyze customer reviews and determine the overall sentiment expressed within each review. The sentiment should be categorized as either ‘positive’, ‘negative’, or ‘neutral’. Provide only the single word sentiment – ‘positive’, ‘negative’, or ‘neutral’ – as your response. Do not include any additional explanations or context. Focus solely on the sentiment of the review text.\Line\Line<INPUT>\Line\Line'<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_2_174729955358","<start_of_turn>user\LineAs a highly skilled sentiment analysis model, your responsibility is to assess the emotional tone of product reviews. Carefully read the following text and identify whether it conveys a positive, negative, or neutral sentiment. Your output MUST consist solely of the word ‘positive’, ‘negative’, or ‘neutral’.  Do not add any introductory or concluding phrases.  Prioritize accuracy in determining the core sentiment.<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_3_174729955358","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to analyze customer reviews and determine their overall sentiment as either positive, negative, or neutral.  Carefully read the provided text and provide only one of the following responses: Positive, Negative, or Neutral.  Do not include any additional commentary or explanations.  Focus solely on the sentiment expressed in the review.\Line\Line<INPUT>\Line\Line'<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_3_174729955358","<start_of_turn>user\LineAnalyze the following customer review to determine its sentiment. Read the entire review thoroughly.  Consider the language used, the expressed opinions, and any indicators of satisfaction or dissatisfaction.  Respond with a single word: Positive, Negative, or Neutral.  Your response should accurately reflect the overall feeling conveyed by the review.\Line\Line<INPUT>\Line\Line'<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
"bad_generated_3_174729955358","<start_of_turn>user\LineAs a sentiment analysis specialist, your role is to classify the sentiment<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",""
good_generated_1_174730281840,"<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert. Analyze the following customer review and determine if the overall sentiment is positive, negative, or neutral. Provide a brief explanation (one sentence) justifying your decision, focusing on the key phrases that influenced your assessment. <INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_1_174730281840,"<start_of_turn>user\LineYou are a seasoned brand analyst. Assess the sentiment expressed in the review below.  Consider the language used, the reviewer’s tone, and any specific mentions of the product or service.  Your response should be a single word: positive, negative, or neutral.  Justify your selection with a concise explanation, highlighting the most significant indicators of sentiment. <INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_1_174730281840,<start_of_turn>user\LineYou are a customer service representative tasked<end_of_turn>\Line<start_of_turn>model\Line<PROBE>,
good_generated_2_174730281840,"<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to analyze customer reviews and determine the sentiment expressed. The sentiment should be classified as either ""positive"", ""negative"", or ""neutral"". Pay close attention to nuanced language, sarcasm, and implied emotions. Consider the overall context and tone of the review. Ignore irrelevant details. Provide only the single word sentiment classification.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_3_174730281840,"<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in restaurant reviews. Your task is to meticulously analyze the provided text and determine the overall sentiment expressed. Consider the tone, language used, and any explicit or implied opinions about the food, service, ambiance, and value. Provide a concise sentiment classification – either ‘Positive’, ‘Negative’, or ‘Neutral’.  Pay close attention to nuanced language and sarcasm. <INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_3_174730281840,"<start_of_turn>user\LineYou are a customer service representative analyzing online reviews. Your role is to assess the emotional tone of each review regarding a product.  Determine if the review expresses a ‘Positive’ experience, a ‘Negative’ experience, or a ‘Neutral’ observation. Focus on identifying<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_4_174730281840,"<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in online reviews of luxury goods. Your task is to determine the overall sentiment of the following review, classifying it as either 'Positive', 'Negative', or 'Neutral'.  Consider the language used, the tone, and any specific details mentioned regarding the product’s quality, customer service, or value.  Provide only one word as your response. Do not include any explanations or justifications; simply state the sentiment. <INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_4_174730281840,"<start_of_turn>user\LineYou are a meticulous sentiment analyst tasked with evaluating customer feedback regarding high-end electronics. Analyze the following text and identify the dominant emotion conveyed.  Assess whether the review expresses satisfaction, disappointment, or indifference.  Your response<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_5_174730281840,"<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in analyzing online reviews of restaurants. Your task is to determine the sentiment expressed in the provided text – whether it is overwhelmingly positive, clearly negative, or neutral. Consider all aspects of the review, including food quality, service, atmosphere, and overall experience. Provide a concise sentiment classification – “Positive”, “Negative”, or “Neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_6_174730281840,"<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in analyzing online customer reviews for luxury goods. Your task is to determine the precise sentiment expressed in the provided text, classifying it as either ‘Positive’, ‘Negative’, or ‘Neutral’. Pay close attention to subtle cues like sarcasm, irony, and implied meaning. Consider the overall context and the reviewer's tone.  Analyze the review carefully and provide a concise sentiment classification.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_6_174730281840,"<start_of_turn>user\LineYou are a sentiment analysis specialist focused on restaurant reviews. Your job is to assess the sentiment of customer feedback regarding food quality, service, and ambiance. Classify the sentiment as ‘Positive’, ‘Negative’, or ‘Neutral’.  Specifically,<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_7_174730281840,"<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in analyzing online customer reviews. Your task is to determine the sentiment of a given review with extreme precision, considering nuanced language, sarcasm, and implied emotions. Provide only one word response: positive, negative, or neutral. Do not include any additional explanations or commentary.  Focus on identifying the dominant sentiment expressed.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_7_174730281840,"<start_of_turn>user\LineYou are a professional brand monitor tasked with assessing customer feedback. Your role is to categorize the sentiment of each review as either positive, negative, or neutral. Pay close attention to subtle cues, such as word choice, punctuation, and the overall tone.  Your response MUST be limited to a single word: positive, negative, or neutral. Prioritize accuracy above all else.\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
good_generated_7_174730281840,<start_of_turn>user\LineYou are a sentiment analysis specialist working for<end_of_turn>\Line<start_of_turn>model\Line<PROBE>,
